"project","n_rows","n_aliquots","n_patients","n_tumor","n_normal","n_paired"
"BRCA",1256,1232,1095,1095,113,113
"KIRC",618,614,533,533,72,72
"THCA",572,572,505,505,59,59
"LUAD",601,600,517,516,59,58
"PRAD",558,554,497,497,52,52
"LUSC",555,553,501,501,51,51
"LIHC",424,424,371,371,50,50
"HNSC",548,548,503,502,44,43
"COAD",546,524,458,458,41,41
"STAD",453,453,419,416,37,34
"KIRP",323,323,290,290,32,32
"KICH",91,91,66,66,25,25
"UCEC",589,585,554,541,35,22
"BLCA",433,433,408,408,19,19
"ESCA",198,198,184,184,13,13
"CHOL",45,45,36,36,9,9
"READ",177,177,167,166,10,9
"PAAD",183,183,178,178,4,4
"CESC",309,309,304,304,3,3
"PCPG",187,187,179,179,3,3
"SARC",265,265,259,259,2,2
"THYM",122,122,120,120,2,2
"ACC",79,79,79,79,0,0
"DLBC",48,48,48,48,0,0
"GBM",175,175,167,155,5,0
"LAML",178,178,178,0,0,0
"LGG",532,532,514,514,0,0
"MESO",87,87,87,87,0,0
"OV",430,430,423,422,0,0
"SKCM",473,473,469,103,1,0
"TGCT",156,156,150,150,0,0
"UCS",57,57,57,57,0,0
"UVM",80,80,80,80,0,0
